location_set_version_id,location_id,location_name,parent_id,level,sort_order,subnational_location
331,1,Global,1,0,1,0
331,44635,High SDI,1,1,2,0
331,44634,High-middle SDI,1,1,3,0
331,44639,Middle SDI,1,1,4,0
331,44636,Low-middle SDI,1,1,5,0
331,44637,Low SDI,1,1,6,0
331,64,High-income,1,1,7,0
331,100,High-income North America,64,2,8,0
331,101,Canada,100,3,9,0
331,349,Greenland,100,3,10,0
331,102,United States,100,3,11,0
331,523,Alabama,102,4,11.1,1
331,524,Alaska,102,4,11.12,1
331,525,Arizona,102,4,11.13,1
331,526,Arkansas,102,4,11.14,1
331,527,California,102,4,11.15,1
331,528,Colorado,102,4,11.16,1
331,529,Connecticut,102,4,11.17,1
331,530,Delaware,102,4,11.18,1
331,531,District of Columbia,102,4,11.19,1
331,532,Florida,102,4,11.2,1
331,533,Georgia,102,4,11.21,1
331,534,Hawaii,102,4,11.22,1
331,535,Idaho,102,4,11.23,1
331,536,Illinois,102,4,11.24,1
331,537,Indiana,102,4,11.25,1
331,538,Iowa,102,4,11.26,1
331,539,Kansas,102,4,11.27,1
331,540,Kentucky,102,4,11.28,1
331,541,Louisiana,102,4,11.29,1
331,542,Maine,102,4,11.3,1
331,543,Maryland,102,4,11.31,1
331,544,Massachusetts,102,4,11.32,1
331,545,Michigan,102,4,11.33,1
331,546,Minnesota,102,4,11.34,1
331,547,Mississippi,102,4,11.35,1
331,548,Missouri,102,4,11.36,1
331,549,Montana,102,4,11.37,1
331,550,Nebraska,102,4,11.38,1
331,551,Nevada,102,4,11.39,1
331,552,New Hampshire,102,4,11.4,1
331,553,New Jersey,102,4,11.41,1
331,554,New Mexico,102,4,11.42,1
331,555,New York,102,4,11.43,1
331,556,North Carolina,102,4,11.44,1
331,557,North Dakota,102,4,11.45,1
331,558,Ohio,102,4,11.46,1
331,559,Oklahoma,102,4,11.47,1
331,560,Oregon,102,4,11.48,1
331,561,Pennsylvania,102,4,11.49,1
331,562,Rhode Island,102,4,11.5,1
331,563,South Carolina,102,4,11.51,1
331,564,South Dakota,102,4,11.52,1
331,565,Tennessee,102,4,11.53,1
331,566,Texas,102,4,11.54,1
331,567,Utah,102,4,11.55,1
331,568,Vermont,102,4,11.56,1
331,569,Virginia,102,4,11.57,1
331,570,Washington,102,4,11.58,1
331,571,West Virginia,102,4,11.59,1
331,572,Wisconsin,102,4,11.6,1
331,573,Wyoming,102,4,11.61,1
331,70,Australasia,64,2,12,0
331,71,Australia,70,3,13,0
331,72,New Zealand,70,3,14,0
331,65,High-income Asia Pacific,64,2,15,0
331,66,Brunei,65,3,16,0
331,67,Japan,65,3,17,0
331,35446,Aichi,67,4,17.1,1
331,35428,Akita,67,4,17.11,1
331,35425,Aomori,67,4,17.12,1
331,35435,Chiba,67,4,17.13,1
331,35461,Ehime,67,4,17.14,1
331,35441,Fukui,67,4,17.15,1
331,35463,Fukuoka,67,4,17.16,1
331,35430,Fukushima,67,4,17.17,1
331,35444,Gifu,67,4,17.18,1
331,35433,Gunma,67,4,17.19,1
331,35457,Hiroshima,67,4,17.2,1
331,35424,Hokkaidō,67,4,17.21,1
