Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,60,114,161,214,281,364,554,847,924,1044
Albania,131,175,237,333,372,439,513,568,581,611
Algeria,2221,2680,3396,4642,6020,7718,9551,11 044,12 759,14 390
Angola,22 036,26 556,31 736,48 413,63 028,71 541,69 841,78 721,88 734,93 310
Antigua and Barbuda,,,,,,250,323,348,366,
Argentina,48 877,53 446,57 950,62 469,66 999,71 854,76 383,80 914,85 455,90 769
Armenia,250,320,449,579,740,941,1188,1530,1871,2190
Australia,12 734,13 041,14 857,16 589,17 945,19 200,20 453,21 513,22 774,23 823
Austria,...,...,...,...,...,5505,6079,...,...,...
Azerbaijan,587,941,1301,1771,1834,2374,2885,3658,4374,5086
Bahamas,...,...,...,...,...,2319,2246,2969,3107,...
Bahrain,...,...,...,...,...,115,121,137,...,...
Bangladesh,...,...,...,...,...,1483,1817,2470,3045,...
Barbados,873,929,1014,1077,1105,1139,1196,1271,1323,1405
Belarus,2615,3223,4274,5181,5918,7392,8564,11 242,15 524,17 739
Belgium,...,...,...,...,...,...,...,...,...,...
Belize,...,...,...,...,...,1128,1268,1293,1383,...
Benin,20 110,25 535,27 889,24 811,28 850,33 602,38 111,38 396,44 234,48 986
Bhutan,...,...,...,...,...,267,317,405,483,...
Bolivia (Plurinational State of),1261,1266,2346,2965,3803,5274,6429,7556,9895,11 639
Bosnia and Herzegovina,...,...,...,...,...,117,...,...,...,...
Botswana,159 350,177 776,205 036,223 506,232 292,255 119,273 054,285 983,307 377,313 850
Brazil,385 329,411 256,436 121,460 696,485 540,511 037,543 781,571 176,600 380,631 386
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...
Bulgaria,386,455,542,631,719,829,895,1204,1453,1659
Burkina Faso,31 543,36 248,38 652,42 126,46 623,46 403,51 474,57 700,59 517,68 683
Burundi,22 735,26 402,29 121,32 801,36 888,42 169,51 917,60 115,65 483,71 743
Cabo Verde,599,701,864,996,1211,1355,1616,1809,2153,2338
Cambodia,42 799,46 473,48 913,50 659,52 907,54 769,56 754,58 516,59 526,61 193
Cameroon,89 455,105 653,122 783,131 594,145 038,168 249,205 382,253 793,281 083,311 948
Canada,...,...,...,...,...,...,...,...,...,...
Central African Republic,15 287,14 405,16 632,16 568,24 142,28 303,31 593,36 703,39 641,47 032
Chad,31 919,32 832,36 526,38 873,47 148,57 316,44 207,51 868,61 352,69 379
Chile,14 356,15 617,19 071,22 706,25 106,28 081,32 738,39 088,45 103,50 270
China,...,...,...,...,...,...,...,...,...,...
Colombia,22 588,31 270,37 386,45 571,55 319,66 889,75 993,78 228,83 677,89 022
Comoros,17,19,24,27,30,40,44,50,60,77
Congo,14 870,16 881,17 234,19 563,19 346,25 246,27 296,29 060,31 226,26 030
Costa Rica,3409,3692,3955,4314,4672,5623,6160,6745,8113,9466
Croatia,505,568,635,717,798,...,...,...,...,...
Cuba,6001,7463,8742,10 193,12 597,15 241,17 242,19 466,21 946,24 518
Cyprus,...,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,...,...
Côte d'Ivoire,81 458,98 464,109 925,122 959,140 710,158 002,189 964,230 463,252 125,269 135
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,43 790,53 393,66 305,79 560,101 324,121 762,157 072,213 995,256 486,277 592
Denmark,...,...,...,...,...,4946,5206,5446,...,...
Djibouti,967,1042,1287,1381,1593,1945,2229,2454,2680,2907
Dominica,,,,,,55,69,69,89,95
Dominican Republic,14 823,17 023,19 261,20 780,23 346,25 235,27 357,29 708,32 265,34 839
Ecuador,7168,8947,9396,10 234,12 624,15 491,18 275,21 526,25 148,30 812
Egypt,579,743,939,1224,1780,2220,3168,4753,6693,8401
El Salvador,8482,8890,9271,10 140,10 549,10 803,11 536,11 780,11 862,13 321
Equatorial Guinea,2290,3892,5927,10 910,11 361,10 830,14 881,20 563,21 368,22 900
Eritrea,4699,5554,6356,7085,7862,8431,8712,8795,8907,8835
Estonia,...,...,...,...,...,3526,3895,4142,4345,...
Eswatini,60 757,69 110,79 524,92 343,113 669,133 958,155 177,174 103,177 156,191 782
Ethiopia,222 333,265 140,288 099,317 403,361 617,384 528,420 642,437 455,449 983,494 571
Fiji,79,96,160,165,195,202,222,274,352,434
Finland,...,...,...,...,...,2465,2609,...,...,...
France,113 432,115 263,117 098,118 933,124 121,130 150,134 636,142 174,148 183,154 191
Gabon,11 013,12 694,15 006,19 955,21 759,27 037,30 372,33 401,35 634,26 104
Gambia,2030,3121,3842,3997,4586,5022,6081,6773,7541,8229
Georgia,830,1122,1679,2092,2541,3044,3638,4144,4597,5098
Germany,...,...,...,...,...,61 487,65 093,68 899,69 884,...
Ghana,40 575,59 007,69 870,75 762,83 712,81 987,92 335,102 684,113 171,153 901
Greece,...,...,...,...,...,...,...,...,...,...
Grenada,,,,,,140,122,140,394,
Guatemala,12 053,13 585,15 136,16 398,16 876,16 370,16 641,17 872,19 723,20 923
Guinea,19 883,23 047,27 685,28 248,32 331,34 774,37 321,41 508,48 574,61 897
Guinea-Bissau,3813,5104,6470,6913,8127,9480,11 860,11 985,14 568,16 500
Guyana,3059,3432,3717,4054,4295,4538,4905,5237,5557,5966
