country,year.2010,year.2011,year.2012,year.2013,year.2014,year.2015,year.2016,year.2017,year.2018,year.2019
Afghanistan,60,114,161,214,281,364,554,847,924,1044
Albania,131,175,237,333,372,439,513,568,581,611
Algeria,2221,2680,3396,4642,6020,7718,9551,11044,12759,14390
Angola,22036,26556,31736,48413,63028,71541,69841,78721,88734,93310
Antigua and Barbuda,,,,,,250,323,348,366,
Argentina,48877,53446,57950,62469,66999,71854,76383,80914,85455,90769
Armenia,250,320,449,579,740,941,1188,1530,1871,2190
Australia,12734,13041,14857,16589,17945,19200,20453,21513,22774,23823
Austria,,,,,,5505,6079,,,
Azerbaijan,587,941,1301,1771,1834,2374,2885,3658,4374,5086
Bahamas,,,,,,2319,2246,2969,3107,
Bahrain,,,,,,115,121,137,,
Bangladesh,,,,,,1483,1817,2470,3045,
Barbados,873,929,1014,1077,1105,1139,1196,1271,1323,1405
Belarus,2615,3223,4274,5181,5918,7392,8564,11242,15524,17739
Belgium,,,,,,,,,,
Belize,,,,,,1128,1268,1293,1383,
Benin,20110,25535,27889,24811,28850,33602,38111,38396,44234,48986
Bhutan,,,,,,267,317,405,483,
Bolivia (Plurinational State of),1261,1266,2346,2965,3803,5274,6429,7556,9895,11639
Bosnia and Herzegovina,,,,,,117,,,,
Botswana,159350,177776,205036,223506,232292,255119,273054,285983,307377,313850
Brazil,385329,411256,436121,460696,485540,511037,543781,571176,600380,631386
Brunei Darussalam,,,,,,,,,,
Bulgaria,386,455,542,631,719,829,895,1204,1453,1659
Burkina Faso,31543,36248,38652,42126,46623,46403,51474,57700,59517,68683
Burundi,22735,26402,29121,32801,36888,42169,51917,60115,65483,71743
Cabo Verde,599,701,864,996,1211,1355,1616,1809,2153,2338
Cambodia,42799,46473,48913,50659,52907,54769,56754,58516,59526,61193
Cameroon,89455,105653,122783,131594,145038,168249,205382,253793,281083,311948
Canada,,,,,,,,,,
Central African Republic,15287,14405,16632,16568,24142,28303,31593,36703,39641,47032
Chad,31919,32832,36526,38873,47148,57316,44207,51868,61352,69379
Chile,14356,15617,19071,22706,25106,28081,32738,39088,45103,50270
China,,,,,,,,,,
Colombia,22588,31270,37386,45571,55319,66889,75993,78228,83677,89022
Comoros,17,19,24,27,30,40,44,50,60,77
Congo,14870,16881,17234,19563,19346,25246,27296,29060,31226,26030
Costa Rica,3409,3692,3955,4314,4672,5623,6160,6745,8113,9466
Croatia,505,568,635,717,798,,,,,
Cuba,6001,7463,8742,10193,12597,15241,17242,19466,21946,24518
Cyprus,,,,,,,,,,
Czechia,,,,,,,,,,
Côte d'Ivoire,81458,98464,109925,122959,140710,158002,189964,230463,252125,269135
Democratic People's Republic of Korea,,,,,,,,,,
Democratic Republic of the Congo,43790,53393,66305,79560,101324,121762,157072,213995,256486,277592
Denmark,,,,,,4946,5206,5446,,
Djibouti,967,1042,1287,1381,1593,1945,2229,2454,2680,2907
Dominica,,,,,,55,69,69,89,95
Dominican Republic,14823,17023,19261,20780,23346,25235,27357,29708,32265,34839
Ecuador,7168,8947,9396,10234,12624,15491,18275,21526,25148,30812
Egypt,579,743,939,1224,1780,2220,3168,4753,6693,8401
El Salvador,8482,8890,9271,10140,10549,10803,11536,11780,11862,13321
Equatorial Guinea,2290,3892,5927,10910,11361,10830,14881,20563,21368,22900
Eritrea,4699,5554,6356,7085,7862,8431,8712,8795,8907,8835
Estonia,,,,,,3526,3895,4142,4345,
Eswatini,60757,69110,79524,92343,113669,133958,155177,174103,177156,191782
Ethiopia,222333,265140,288099,317403,361617,384528,420642,437455,449983,494571
Fiji,79,96,160,165,195,202,222,274,352,434
Finland,,,,,,2465,2609,,,
France,113432,115263,117098,118933,124121,130150,134636,142174,148183,154191
Gabon,11013,12694,15006,19955,21759,27037,30372,33401,35634,26104
Gambia,2030,3121,3842,3997,4586,5022,6081,6773,7541,8229
Georgia,830,1122,1679,2092,2541,3044,3638,4144,4597,5098
Germany,,,,,,61487,65093,68899,69884,
Ghana,40575,59007,69870,75762,83712,81987,92335,102684,113171,153901
Greece,,,,,,,,,,
Grenada,,,,,,140,122,140,394,
Guatemala,12053,13585,15136,16398,16876,16370,16641,17872,19723,20923
Guinea,19883,23047,27685,28248,32331,34774,37321,41508,48574,61897
Guinea-Bissau,3813,5104,6470,6913,8127,9480,11860,11985,14568,16500
Guyana,3059,3432,3717,4054,4295,4538,4905,5237,5557,5966
Haiti,29171,34878,43211,54748,62349,68814,83216,94381,91498,109993
Honduras,7718,8355,8970,9569,9926,10457,10848,11506,11667,11849
Hungary,,,,,,1410,1527,1760,2037,
Iceland,,,,,,188,,,,
India,,,,,,,,1211223,,
Indonesia,,,,,,63199,77748,91369,108479,
Iran (Islamic Republic of),1871,2650,3579,4661,5988,7600,9352,11129,12364,14685
Ireland,2862,3197,3532,3868,4201,4537,4891,5224,5724,6324
Israel,,,,,,,,,,
Italy,72165,77320,82477,87200,91921,95960,99996,108784,117564,118804
Jamaica,5826,6669,7495,8768,9464,10055,10940,11887,12669,14155
Japan,,,,,,18937,21708,22881,,
Jordan,,,,,,196,247,254,313,
Kazakhstan,1239,1827,2631,3573,4641,6286,8003,11275,14950,17535
Kenya,432622,538985,603997,656369,755226,897644,1018905,1112750,1067636,1112254
Kiribati,,,,,,,,8,10,10
