week,public,private
05/01/2020,30854,12948
12/01/2020,28061,12270
19/01/2020,33805,13280
26/01/2020,33055,12801
02/02/2020,36685,14600
09/02/2020,36795,14364
16/02/2020,35405,14415
23/02/2020,39221,13711
01/03/2020,38096,14689
08/03/2020,28009,11884
15/03/2020,36852,12973
22/03/2020,14297,3987
29/03/2020,13050,4040
05/04/2020,11923,3821
12/04/2020,14731,4268
19/04/2020,16423,4576
26/04/2020,17116,4678
03/05/2020,19004,5827
10/05/2020,21092,6841
17/05/2020,20725,7403
24/05/2020,20442,7904
31/05/2020,25089,10240
07/06/2020,25338,10207
14/06/2020,24221,9636
21/06/2020,24191,9521
28/06/2020,22533,9596
05/07/2020,21030,8715
12/07/2020,19631,7630
19/07/2020,16737,6569
26/07/2020,12987,5435
