week,public,private
05/01/2020,30699,12725
12/01/2020,27918,12070
19/01/2020,33595,13028
26/01/2020,32733,12542
02/02/2020,36229,14121
09/02/2020,36191,13869
16/02/2020,34701,13752
23/02/2020,38186,12993
01/03/2020,36183,13172
08/03/2020,26160,10220
15/03/2020,33113,10426
22/03/2020,12295,2860
29/03/2020,9790,2128
04/04/2020,8040,1672
12/04/2020,7288,1395
19/04/2020,9765,1765
26/04/2020,10413,1954
03/05/2020,9385,1970
10/05/2020,13261,2955
17/05/2020,12945,3206
24/05/2020,19860,7204
31/05/2020,24139,8976
07/06/2020,24224,8819
14/06/2020,22472,7951
21/06/2020,21621,7355
28/06/2020,15642,5523
